Probes.Probe_Type VCap.Probe_id VCap.Gene_symbol point_change androgen_point_change
Common Probe ILMN_1761242 COMMD1 3 0
Common Probe ILMN_1711102 B3GNT2 3 0
Common Probe ILMN_1673548 HSPC159 6 0
Common Probe ILMN_1822974 DA767045 5 0
Common Probe ILMN_1897980 CB049831 2 0
Common Probe ILMN_1767722 AFTPH 2 0
Common Probe ILMN_1656904 BC001618 6 2
Common Probe ILMN_1808500 CEP68 8 0
Common Probe ILMN_1753607 PNO1 2 0
Common Probe ILMN_1811877 ANTXR1 14 9
Common Probe ILMN_1670379 ANTXR1 4 0
Common Probe ILMN_1688755 AAK1 7 0
Common Probe ILMN_1655307 FAM136A 5 0
Common Probe ILMN_1833858 AF038185 5 0
Common Probe ILMN_1716547 N-Acetylglucosamine kinase 2 0
Common Probe ILMN_1652085 MPHOSPH10 1 0
Common Probe ILMN_1733515 LOXL3 15 1
Common Probe ILMN_1723486 HK2 5 1
Common Probe ILMN_1660063 POLE4 11 5
Common Probe ILMN_1669669 KCMF1 6 0
Common Probe ILMN_1737298 MAT2A 8 0
Common Probe ILMN_1655340 RNF181 7 1
Common Probe ILMN_1679771 C2orf68 2 0
Common Probe ILMN_1654065 ATOH8 2 0
Common Probe ILMN_1713496 ST3GAL5 2 0
Common Probe ILMN_1733746 REEP1 5 0
Common Probe ILMN_1729269 LOC285074 9 0
Common Probe ILMN_1724984 EIF2AK3 9 0
Common Probe ILMN_1714809 RPIA 0 6
Common Probe ILMN_1761946 PROM2 8 3
Common Probe ILMN_1705928 SNRNP200 10 6
Common Probe ILMN_2146657 SLC26A1 12 6
Common Probe ILMN_1667932 ANKRD36B 0 8
Common Probe ILMN_1732404 C2orf15 13 0
Common Probe ILMN_1791838 LYG1 11 6
Common Probe ILMN_1775235 AFF3 5 0
Common Probe ILMN_1751016 LONRF2 4 0
Common Probe ILMN_1702806 PDCL3 18 1
Common Probe ILMN_1735495 TBC1D8 2 0
Common Probe ILMN_1708906 C2orf29 12 0
Common Probe ILMN_1738849 SLC9A2 3 0
Common Probe ILMN_1724718 NCK2 10 6
Common Probe ILMN_1766079 SULT1C2 22 13
Common Probe ILMN_1675387 LIMS1 6 0
Common Probe ILMN_1743275 SH3RF3 8 0
Common Probe ILMN_1693685 BC064430 4 0
Common Probe ILMN_1770610 MERTK 2 0
Common Probe ILMN_1679693 TMEM87B 8 4
Common Probe ILMN_1794632 POLR1B 5 0
Common Probe ILMN_1672662 SLC20A1 2 0
Common Probe ILMN_1774874 IL1RN 3 0
Common Probe ILMN_2383349 STEAP3 6 0
Common Probe ILMN_1670672 TMEM37 4 0
Common Probe ILMN_1676358 RALB 7 0
Common Probe ILMN_1685714 INHBB 2 0
Common Probe ILMN_1674160 BIN1 6 0
Common Probe ILMN_1759987 HS6ST1 3 0
Common Probe ILMN_1652464 TUBA3E 1 0
Common Probe ILMN_1730347 CCDC115 8 0
Common Probe ILMN_1677122 FAM168B 11 0
Common Probe ILMN_1698323 PLEKHB2 8 5
Common Probe ILMN_1697652 PLEKHB2 8 0
Common Probe ILMN_1678086 CCDC74A 6 3
Common Probe ILMN_1898453 AL049390 2 0
Common Probe ILMN_1816244 LOC151162 0 0
Common Probe ILMN_1693119 LYPD6B 3 0
Common Probe ILMN_1776724 LYPD6 16 NA
Common Probe ILMN_1665425 RPRM 3 0
Common Probe ILMN_1782305 NR4A2 8 0
Common Probe ILMN_1760490 ACVR1 7 0
Common Probe ILMN_1749410 PKP4 6 0
Common Probe ILMN_1716797 CD302 9 0
Common Probe ILMN_1791328 STK39 5 0
Common Probe ILMN_1814281 SPC25 15 0
Common Probe ILMN_1812859 GAD1 4 0
Common Probe ILMN_1660973 GAD1 15 0
Common Probe ILMN_1748018 GORASP2 5 6
Common Probe ILMN_1672094 DLX1 4 0
Common Probe ILMN_1698803 ZAK 6 0
Common Probe ILMN_1737184 CDCA7 8 2
Common Probe ILMN_1674782 LOC375295 5 0
Common Probe ILMN_1761083 HNRNPA3 7 5
Common Probe ILMN_1680378 RBM45 2 0
Common Probe ILMN_1756935 OSBPL6 3 0
Common Probe ILMN_1657087 ZNF385B 3 0
Common Probe ILMN_1742260 KIAA1927 5 0
Common Probe ILMN_1729117 COL5A2 9 8
Common Probe ILMN_1667239 INPP1 3 0
Common Probe ILMN_1710209 MFSD6 2 0
Common Probe ILMN_1730645 TMEFF2 4 0
Common Probe ILMN_1751615 COQ10B 6 0
Common Probe ILMN_1679177 MARS2 0 0
Common Probe ILMN_1683678 LOC26010 6 0
Common Probe ILMN_1781691 TRAK2 0 0
Common Probe ILMN_1800958 ALS2CR4 6 0
Common Probe ILMN_1739942 FAM117B 4 0
Common Probe ILMN_1724497 ABI2 5 9
Common Probe ILMN_1810069 CCNYL1 4 0
Common Probe ILMN_1696432 IDH1 6 0
Common Probe ILMN_1673991 DQ896591 5 0
Common Probe ILMN_1725193 IGFBP2 11 4
Common Probe ILMN_1750324 IGFBP5 5 1
Common Probe ILMN_1792489 ARPC2 7 2
Common Probe ILMN_1801953 IHH 1 0
Common Probe ILMN_1653718 ZFAND2B 9 0
Common Probe ILMN_2390974 DNAJB2 11 0
Common Probe ILMN_1691393 DNPEP 0 0
Common Probe ILMN_1693878 GMPPA 11 6
Common Probe ILMN_1804476 GMPPA 5 0
Common Probe ILMN_1672022 EPHA4 1 0
Common Probe ILMN_1654414 ACSL3 1 0
Common Probe ILMN_1666096 ACSL3 1 0
Common Probe ILMN_1655595 SERPINE2 3 0
Common Probe ILMN_1702301 DOCK10 4 0
Common Probe ILMN_1759232 IRS1 4 0
Common Probe ILMN_1900110 IRS1 4 0
Common Probe ILMN_1681543 RHBDD1 0 13
Common Probe ILMN_1731418 SP110 4 0
Common Probe ILMN_1680453 ITM2C 24 11
Common Probe ILMN_1785330 SH3BP4 2 0
Common Probe ILMN_1857897 CR608907 5 0
Common Probe ILMN_1798360 CXCR7 11 0
Common Probe ILMN_1764754 RAMP1 7 2
Common Probe ILMN_1694268 Hes6 7 3
Common Probe ILMN_1738095 PER2 4 0
Common Probe ILMN_1667022 PASK 4 0
Common Probe ILMN_1808333 PPP1R7 9 0
Common Probe ILMN_1665601 THAP4 3 0
Common Probe ILMN_1677530 THAP4 3 0
Common Probe ILMN_1671748  8 3
Common Probe ILMN_1720511 LRRN1 8 0
Common Probe ILMN_1682404 SETMAR 0 0
Common Probe ILMN_1753472 SUMF1 11 0
Common Probe ILMN_1789505 ITPR1 15 0
Common Probe ILMN_1768534 BHLHE40 1 0
Common Probe ILMN_1754969 LMCD1 3 0
Common Probe ILMN_1784985 PRRT3 6 0
Common Probe ILMN_1790978 ATG7 8 3
Common Probe ILMN_1768480 VGLL4 5 0
Common Probe ILMN_1800225 PPARG 6 4
Common Probe ILMN_1746393 TSEN2 4 0
Common Probe ILMN_1808299 IQSEC1 2 0
Common Probe ILMN_1774602 FBLN2 8 1
Common Probe ILMN_1813938 CHCHD4 3 0
Common Probe ILMN_1790807 XPC 11 0
Common Probe ILMN_1798826 MRPS25 4 0
Common Probe ILMN_1723414 HACL1 13 1
Common Probe ILMN_1679912 DPH3 4 0
Common Probe ILMN_1762747 RPL15 16 5
Common Probe ILMN_1808354 SLC4A7 6 0
Common Probe ILMN_1726245 TGFBR2 4 0
Common Probe ILMN_1710124 CMTM8 3 0
Common Probe ILMN_1698934 CMTM7 4 0
Common Probe ILMN_1665235 CRTAP 11 6
Common Probe ILMN_1720484 CRTAP 11 4
Common Probe ILMN_1750321 LBA1 3 0
Common Probe ILMN_1788363 MLH1 4 0
Common Probe ILMN_1707156 LRRFIP2 3 0
Common Probe ILMN_1772329 LRRFIP2 3 0
Common Probe ILMN_1813117 ITGA9 4 0
Common Probe ILMN_2392189 CTDSPL 4 0
Common Probe ILMN_1811489 OXSR1 24 0
Common Probe ILMN_1762103 WDR48 13 8
Common Probe ILMN_1716821 GORASP1 4 1
Common Probe ILMN_1703123 AXUD1 3 0
Common Probe ILMN_1710885 RPSA 20 21
Common Probe ILMN_1672961 RPSA 18 NA
Common Probe ILMN_1746396 CTNNB1 7 0
Common Probe ILMN_1757350 CTNNB1 8 0
Common Probe ILMN_2290618 SEC22C 0 7
Common Probe ILMN_1760245 KIF15 12 1
Common Probe ILMN_1792455 TMEM158 3 0
Common Probe ILMN_1700168 LARS2 8 0
Common Probe ILMN_1709032 FYCO1 3 0
Common Probe ILMN_1892403 X58062 4 0
Common Probe ILMN_1694603 SMARCC1 8 0
Common Probe ILMN_1688580 CAMP 13 9
Common Probe ILMN_1654819 ZNF589 14 8
Common Probe ILMN_1654612 ZNF589 13 0
Common Probe ILMN_1661466 SPINK8 11 9
Common Probe ILMN_1728898 SPINK8 24 1
Common Probe ILMN_1653292 PFKFB4 9 0
Common Probe ILMN_1741392 SLC25A20 7 5
Common Probe ILMN_1672122 P4HTM 8 0
Common Probe ILMN_1705737 IMPDH2 7 3
Common Probe ILMN_1763080 QARS 11 5
Common Probe ILMN_1679339 C3orf62 11 0
Common Probe ILMN_1718023 APEH 9 0
Common Probe ILMN_1773645 GMPPB 4 3
Common Probe ILMN_1667381 CAMKV 20 0
Common Probe ILMN_1668283 HYAL2 2 0
Common Probe ILMN_1734205 RASSF1 8 0
Common Probe ILMN_1683239 RASSF1 8 4
Common Probe ILMN_1738718 CYB561D2 12 0
Common Probe ILMN_1738207 CISH 13 0
Common Probe ILMN_1732452 MAPKAPK3 5 0
Common Probe ILMN_1794213 ABHD14A 10 1
Common Probe ILMN_1675460 DQ893227 10 9
Common Probe ILMN_1657810 PPM1M 10 0
Common Probe ILMN_1708743 NT5DC2 11 0
Common Probe ILMN_1790659 GNL3 7 3
Common Probe ILMN_1801105 PRKCD 1 0
Common Probe ILMN_1736597 TKT 7 0
Common Probe ILMN_1767523 IL17RB 1 0
Common Probe ILMN_1781010 ARHGEF3 5 0
Common Probe ILMN_1660305 PDE12 8 10
Common Probe ILMN_1719518 ARF4 7 6
Common Probe ILMN_1723884 ARF4 5 2
Common Probe ILMN_1706344 ABHD6 24 0
Common Probe ILMN_1685703 ACOX2 5 0
Common Probe ILMN_1743445 FAM107A 2 0
Common Probe ILMN_1720433 FAM3D 15 0
Common Probe ILMN_1665547 CADPS 17 7
Common Probe ILMN_1688188 KIAA1121 4 0
Common Probe ILMN_1805543 ADAMTS9 4 0
Common Probe ILMN_1707342 LRIG1 2 0
Common Probe ILMN_1769810 ARL6IP5 4 0
Common Probe ILMN_1796146 EIF4E3 19 0
Common Probe ILMN_1703511 PDZRN3 7 0
Common Probe ILMN_1742949 PDZRN3 4 0
Common Probe ILMN_1685433 COL8A1 8 6
Common Probe ILMN_1705753 C3orf26 11 0
Common Probe ILMN_1746426 TOMM70A 0 0
Common Probe ILMN_1770922 TMEM45A 24 0
Common Probe ILMN_1814924 FAM55C 0 7
Common Probe ILMN_1685580 CBLB 15 6
Common Probe ILMN_1696701  1 0
Common Probe ILMN_1745415 BBX 1 0
Common Probe ILMN_1811636 IFT57 0 4
Common Probe ILMN_1727633 PVRL3 2 0
Common Probe ILMN_1890908 BX104169 6 0
Common Probe ILMN_1778536 BTLA 5 0
Common Probe ILMN_1736901 AK127260 5 0
Common Probe ILMN_1661500 B4GALT4 10 7
Common Probe ILMN_1792506 PS-PLA1 9 5
Common Probe ILMN_1708798 EAF2 2 0
Common Probe ILMN_1731224 PARP9 7 0
Common Probe ILMN_1793743 DIRC2 9 0
Common Probe ILMN_1690806 PTPLB 11 4
Common Probe ILMN_1782084 ALG1L 5 0
Common Probe ILMN_2344120 ROPN1B 0 0
Common Probe ILMN_1681503 MCM2 10 0
Common Probe ILMN_1657347 PODXL2 5 0
Common Probe ILMN_1802096 ABTB1 12 9
Common Probe ILMN_1657708 MGLL 6 0
Common Probe ILMN_1660533 RPN1 8 5
Common Probe ILMN_1708204 COPG 14 0
Common Probe ILMN_1758323 ACPP 9 2
Common Probe ILMN_1751072 SRPRB 10 0
Common Probe ILMN_1752299 RAB6A 15 9
Common Probe ILMN_1684385 COPB2 9 6
Common Probe ILMN_1746888 PCOLCE2 9 5
Common Probe ILMN_1794011 CHST2 3 0
Common Probe ILMN_1706817 SERP1 6 1
Common Probe ILMN_1678170 MME 2 0
Common Probe ILMN_1806906 SSR3 12 0
Common Probe ILMN_1765578 TIPARP 1 0
Common Probe ILMN_1664756 KPNA4 24 19
Common Probe ILMN_1803367 EVI1 7 0
Common Probe ILMN_1676336 AADACL1 4 0
